diagnostics Versions PyRadiomics,diagnostics Versions Numpy,diagnostics Versions SimpleITK,diagnostics Versions PyWavelet,diagnostics Versions Python,minimumROIDimensions,minimumROISize,normalize,normalizeScale,removeOutliers,resampledPixelSpacing,interpolator,preCrop,padDistance,distances,force2D,force2Ddimension,resegmentRange,label,additionalInfo,binWidth,enableCExtensions,diagnostics Image-original Hash,diagnostics Image-original Dimensionality,diagnostics Image-original Spacing,diagnostics Image-original Size,diagnostics Image-original Mean,diagnostics Image-original Minimum,diagnostics Image-original Maximum,diagnostics Mask-original Hash,diagnostics Mask-original Spacing,diagnostics Mask-original Size,diagnostics Mask-original BoundingBox,diagnostics Mask-original VoxelNum,diagnostics Mask-original VolumeNum,diagnostics Mask-original CenterOfMassIndex,diagnostics Mask-original CenterOfMass,original shape Elongation,original shape Flatness,original shape LeastAxisLength,original shape MajorAxisLength,original shape MinorAxisLength,original shape VoxelVolume,name
v3.0.1,1.26.4,2.3.1,1.6.0,3.11.0,2,,False,1,,,sitkBSpline,False,5,[1],False,0,,3,True,25,True,ca7c4a1a4be3c60bb4c72249574fc6a95441f9e5,3D,[1. 1. 1.],[240 240 155],253.87,0.0,6438.49,0a135f0beca3613ccddd51bdd6f69759caeefb12,[1. 1. 1.],[240 240 155],[111 132   2  20  14  19],2144,1,[120.91 139.15  11.32],[120.91 -99.85  11.32],0.88,0.43,8.78,20.37,17.84,2144.0,./BraTS-MEN-Train/BraTS-MEN-00307-000/BraTS-MEN-00307-000-t1c.nii.gz
v3.0.1,1.26.4,2.3.1,1.6.0,3.11.0,2,,False,1,,,sitkBSpline,False,5,[1],False,0,,3,True,25,True,ad3331165d6091f8dc7866e329b6bc680727a1fc,3D,[1. 1. 1.],[240 240 155],105.92,0.0,3668.5,187df809ea69b389115b593edcbccf7112b3c783,[1. 1. 1.],[240 240 155],[144 148  23  29  28  27],10454,1,[157.82 161.89  35.85],[157.82 -77.11  35.85],0.95,0.9,23.04,25.68,24.42,10454.0,./BraTS-MEN-Train/BraTS-MEN-01205-000/BraTS-MEN-01205-000-t1c.nii.gz
v3.0.1,1.26.4,2.3.1,1.6.0,3.11.0,2,,False,1,,,sitkBSpline,False,5,[1],False,0,,3,True,25,True,075e159bd871cc453d394902d5fefff7ebce907d,3D,[1. 1. 1.],[240 240 155],48.37,0.0,948.94,566f8362c1ed42e9d1480b82083da757c3145f5a,[1. 1. 1.],[240 240 155],[56 48 62 79 89 75],169772,10,[97.69 92.3  98.12],[  97.69 -146.7    98.12],0.83,0.73,58.45,80.02,66.74,169772.0,./BraTS-MEN-Train/BraTS-MEN-00488-000/BraTS-MEN-00488-000-t1c.nii.gz
v3.0.1,1.26.4,2.3.1,1.6.0,3.11.0,2,,False,1,,,sitkBSpline,False,5,[1],False,0,,3,True,25,True,0d557ffda1d6d28a54cdab2324f7d4f5753df509,3D,[1. 1. 1.],[240 240 155],233.88,0.0,6569.99,bc9b170517a83e6e60256b490dacea40731298fb,[1. 1. 1.],[240 240 155],[107  76  46  26  25  16],5328,1,[119.92  88.23  52.8 ],[ 119.92 -150.77   52.8 ],0.9,0.59,14.49,24.37,22.02,5328.0,./BraTS-MEN-Train/BraTS-MEN-01280-000/BraTS-MEN-01280-000-t1c.nii.gz
v3.0.1,1.26.4,2.3.1,1.6.0,3.11.0,2,,False,1,,,sitkBSpline,False,5,[1],False,0,,3,True,25,True,fee14da9955157349f39da7362e7207dccc01bb8,3D,[1. 1. 1.],[240 240 155],77.08,0.0,2373.61,f45c6649a870fff4e5ed1bbddcd106f44ab7281e,[1. 1. 1.],[240 240 155],[112 184 108  10  13  14],662,1,[116.4  189.06 114.11],[116.4  -49.94 114.11],0.68,0.54,7.46,13.81,9.39,662.0,./BraTS-MEN-Train/BraTS-MEN-01429-000/BraTS-MEN-01429-000-t1c.nii.gz
v3.0.1,1.26.4,2.3.1,1.6.0,3.11.0,2,,False,1,,,sitkBSpline,False,5,[1],False,0,,3,True,25,True,c16db734f52efd9c3648bddfc20d89c10d48539e,3D,[1. 1. 1.],[240 240 155],54.87,0.0,1861.49,52af9bf0d0388b68d565e97592aef4b6dbd2c90a,[1. 1. 1.],[240 240 155],[107 162  12  14  16  14],609,1,[112.8  170.11  18.83],[112.8  -68.89  18.83],0.5,0.36,6.32,17.51,8.78,609.0,./BraTS-MEN-Train/BraTS-MEN-00208-000/BraTS-MEN-00208-000-t1c.nii.gz
v3.0.1,1.26.4,2.3.1,1.6.0,3.11.0,2,,False,1,,,sitkBSpline,False,5,[1],False,0,,3,True,25,True,ef0de9b8ed95689229c2e394b377ee14041faff3,3D,[1. 1. 1.],[240 240 155],372.17,0.0,10416.48,f25fadfc57cdcab77c0eeb6174afc0c5091a2484,[1. 1. 1.],[240 240 155],[110  88  47  15  17   8],857,1,[116.9   95.6   50.16],[ 116.9  -143.4    50.16],0.82,0.39,6.38,16.23,13.3,857.0,./BraTS-MEN-Train/BraTS-MEN-00195-000/BraTS-MEN-00195-000-t1c.nii.gz
v3.0.1,1.26.4,2.3.1,1.6.0,3.11.0,2,,False,1,,,sitkBSpline,False,5,[1],False,0,,3,True,25,True,9124017519367962a5a83c6a4e22f17f4d197b9a,3D,[1. 1. 1.],[240 240 155],335.03,0.0,8728.53,6a67e9866934ad34d3abc3323eff47d41324df81,[1. 1. 1.],[240 240 155],[108  69  51  23  24  12],2287,1,[118.8   80.91  54.95],[ 118.8  -158.09   54.95],0.87,0.59,11.29,19.29,16.71,2287.0,./BraTS-MEN-Train/BraTS-MEN-00876-000/BraTS-MEN-00876-000-t1c.nii.gz
v3.0.1,1.26.4,2.3.1,1.6.0,3.11.0,2,,False,1,,,sitkBSpline,False,5,[1],False,0,,3,True,25,True,fe1e4afc7249304def4dc33071cb1c353c313c24,3D,[1. 1. 1.],[240 240 155],59.53,0.0,1522.41,d7167ca0dec25b8f6985c89f4121c172e8437cee,[1. 1. 1.],[240 240 155],[63 74 26 56 62 67],97254,1,[ 90.04 103.01  60.99],[  90.04 -135.99   60.99],0.81,0.77,46.72,60.88,49.52,97254.0,./BraTS-MEN-Train/BraTS-MEN-01034-000/BraTS-MEN-01034-000-t1c.nii.gz
v3.0.1,1.26.4,2.3.1,1.6.0,3.11.0,2,,False,1,,,sitkBSpline,False,5,[1],False,0,,3,True,25,True,fc615d78b88f5d096f538816247eadf595fc7a29,3D,[1. 1. 1.],[240 240 155],292.9,0.0,8233.97,3c8fecfcc29a7ae24d2c5e49629c410214c70dbe,[1. 1. 1.],[240 240 155],[125 141  68  17  17  18],2172,1,[133.17 149.73  76.88],[133.17 -89.27  76.88],0.97,0.74,12.09,16.24,15.83,2172.0,./BraTS-MEN-Train/BraTS-MEN-01229-000/BraTS-MEN-01229-000-t1c.nii.gz
